Address	Length	Type	String
.rdata:1052F834	00000014	C	survival_c7m1_docks
.rdata:1052F848	00000013	C	survival_c7m3_port
.rdata:1052F85C	00000015	C	survival_c8m2_subway
.rdata:1052F874	00000016	C	survival_c8m5_rooftop
.rdata:1052F88C	00000015	C	survival_c9m1_alleys
.rdata:1052F8A4	00000013	C	survival_c9m2_lots
.rdata:1052F8B8	00000007	C	(%s)%s
.rdata:1052F8C0	0000000D	C	Achievements
.rdata:1052F8D0	00000021	C	CAchievementMgr::SaveGlobalState
.rdata:1052F8F4	0000003E	C	Achievements disabled: cheats turned on in this app session.\n
.rdata:1052F934	00000026	C	Achievements disabled: demo playing.\n
.rdata:1052F95C	0000002C	C	Achievements disabled: in commentary mode.\n
.rdata:1052F988	0000002B	C	Achievements disabled: Steam not running.\n
.rdata:1052F9B8	00000046	C	Steam not running, achievements disabled. Cannot reset achievements.\n
.rdata:1052FA00	00000012	C	splitscreenplayer
.rdata:1052FA14	0000000A	C	sv_cheats
.rdata:1052FA34	00000016	C	CUtlRBTree overflow!\n
.rdata:1052FA50	0000000B	C	full_round
.rdata:1052FA5C	00000013	C	teamplay_round_win
.rdata:1052FA70	0000000B	C	full_reset
.rdata:1052FA7C	00000015	C	teamplay_round_start
.rdata:1052FA94	00000017	C	localplayer_changeteam
.rdata:1052FAAC	00000018	C	localplayer_changeclass
.rdata:1052FAC4	00000009	C	attacker
.rdata:1052FAD0	00000007	C	userid
.rdata:1052FAD8	0000000A	C	game_init
.rdata:1052FAE4	0000000E	C	entity_killed
.rdata:1052FAF4	00000033	C	Total achievements: %d  Total possible points: %d\n
.rdata:1052FB2C	00000007	C	 %d   
.rdata:1052FB34	0000000D	C	(%d/%d)%s %s
.rdata:1052FB44	0000000C	C	 (inactive)
.rdata:1052FB60	00000007	C	FAILED
.rdata:1052FB68	00000006	C	%-20s
.rdata:1052FB70	00000009	C	ACHIEVED
.rdata:1052FB7C	00000006	C	%42s 
.rdata:1052FB84	0000000F	C	%42s %-20s %s\n
.rdata:1052FB94	00000006	C	Name:
.rdata:1052FB9C	00000008	C	Status:
.rdata:1052FBA4	0000000D	C	Point value:
.rdata:1052FBB8	0000004F	C	Steam not running, achievements disabled. Cannot view or unlock achievements.\n
.rdata:1052FC08	00000019	C	OnProfileLeaderboardData
.rdata:1052FC24	0000000C	C	iController
.rdata:1052FC30	00000014	C	OnProfileDataLoaded
.rdata:1052FC44	00000019	C	achievement_earned %d %d
.rdata:1052FC60	0000003F	C	CAchievementMgr: Failed to upload stats to Steam, EResult %d!\n
.rdata:1052FCA0	00000006	C	%s %s
.rdata:1052FCAC	0000001A	C	Achievement %s not found\n
.rdata:1052FCC8	0000002A	C	Usage: achievement_reset <internal name>\n
.rdata:1052FCF4	0000002B	C	Usage: achievement_unlock <internal name>\n
.rdata:1052FD20	0000002D	C	Usage: achievement_evaluate <internal name>\n
.rdata:1052FD50	00000006	C	Steam
.rdata:1052FD58	00000011	C	AwardAchievement
.rdata:1052FD6C	00000019	C	Achievement awarded: %s\n
.rdata:1052FD88	00000033	C	Achievement award called but already achieved: %s\n
.rdata:1052FDBC	0000003B	C	Achievements disabled, ignoring achievement unlock for %s\n
.rdata:1052FE8C	00000010	C	CAchievementMgr
.rdata:1052FE9C	00000008	C	unnamed
.rdata:1052FEA4	00000012	C	achievement_debug
.rdata:1052FEB8	00000020	C	Turn on achievement debug msgs.
.rdata:1052FED8	00000014	C	achievement_disable
.rdata:1052FEEC	00000017	C	Turn off achievements.
.rdata:1052FF04	00000016	C	achievement_reset_all
.rdata:1052FF1C	00000018	C	Clears all achievements
.rdata:1052FF34	00000012	C	achievement_reset
.rdata:1052FF48	0000002D	C	<internal name> Clears specified achievement
.rdata:1052FF78	00000013	C	achievement_status
.rdata:1052FF8C	00000020	C	Shows status of all achievement
.rdata:1052FFAC	00000013	C	achievement_unlock
.rdata:1052FFC0	00000024	C	<internal name> Unlocks achievement
.rdata:1052FFE4	00000017	C	achievement_unlock_all
.rdata:1052FFFC	00000019	C	Unlocks all achievements
.rdata:10530018	00000015	C	achievement_evaluate
.rdata:10530030	0000003C	C	<internal name> Causes failable achievement to be evaluated
.rdata:1053006C	0000001E	C	achievement_test_friend_count
.rdata:1053008C	00000039	C	Counts the # of teammates on local player's friends list
.rdata:105300C8	0000001C	C	achievement_test_clan_count
.rdata:105300E8	0000004A	C	Determines if specified # of teammates belong to same clan w/local player
.rdata:10530134	00000017	C	achievement_mark_dirty
.rdata:1053014C	0000001F	C	Mark achievement data as dirty
.rdata:10530184	0000002C	C	***\nShared activity collision! %s<->%s\n***\n
.rdata:105301B0	0000001D	C	ACT_ITEM2_VM_LOWERED_TO_IDLE
.rdata:105301D0	0000001A	C	ACT_ITEM2_VM_IDLE_LOWERED
.rdata:105301EC	0000001D	C	ACT_ITEM2_VM_IDLE_TO_LOWERED
.rdata:1053020C	00000015	C	ACT_ITEM2_VM_DRYFIRE
.rdata:10530224	00000014	C	ACT_ITEM2_VM_RELOAD
.rdata:10530238	0000001D	C	ACT_ITEM2_VM_SECONDARYATTACK
.rdata:10530258	0000001B	C	ACT_ITEM2_VM_PRIMARYATTACK
.rdata:10530274	00000016	C	ACT_ITEM2_VM_PULLBACK
.rdata:1053028C	00000012	C	ACT_ITEM2_VM_IDLE
.rdata:105302A0	00000015	C	ACT_ITEM2_VM_HOLSTER
.rdata:105302B8	00000012	C	ACT_ITEM2_VM_DRAW
.rdata:105302CC	0000001D	C	ACT_ITEM1_VM_LOWERED_TO_IDLE
.rdata:105302EC	0000001A	C	ACT_ITEM1_VM_IDLE_LOWERED
.rdata:10530308	0000001D	C	ACT_ITEM1_VM_IDLE_TO_LOWERED
.rdata:10530328	00000015	C	ACT_ITEM1_VM_DRYFIRE
.rdata:10530340	00000014	C	ACT_ITEM1_VM_RELOAD
.rdata:10530354	0000001D	C	ACT_ITEM1_VM_SECONDARYATTACK
.rdata:10530374	0000001B	C	ACT_ITEM1_VM_PRIMARYATTACK
.rdata:10530390	00000016	C	ACT_ITEM1_VM_PULLBACK
.rdata:105303A8	00000012	C	ACT_ITEM1_VM_IDLE
.rdata:105303BC	00000015	C	ACT_ITEM1_VM_HOLSTER
.rdata:105303D4	00000012	C	ACT_ITEM1_VM_DRAW
.rdata:105303E8	0000001B	C	ACT_PDA_VM_LOWERED_TO_IDLE
.rdata:10530404	00000018	C	ACT_PDA_VM_IDLE_LOWERED
.rdata:1053041C	0000001B	C	ACT_PDA_VM_IDLE_TO_LOWERED
.rdata:10530438	00000013	C	ACT_PDA_VM_DRYFIRE
.rdata:1053044C	00000012	C	ACT_PDA_VM_RELOAD
.rdata:10530460	0000001B	C	ACT_PDA_VM_SECONDARYATTACK
.rdata:1053047C	00000019	C	ACT_PDA_VM_PRIMARYATTACK
.rdata:10530498	00000014	C	ACT_PDA_VM_PULLBACK
.rdata:105304AC	00000010	C	ACT_PDA_VM_IDLE
.rdata:105304BC	00000013	C	ACT_PDA_VM_HOLSTER
.rdata:105304D0	00000010	C	ACT_PDA_VM_DRAW
.rdata:105304E0	0000001D	C	ACT_MELEE_VM_LOWERED_TO_IDLE
.rdata:10530500	0000001A	C	ACT_MELEE_VM_IDLE_LOWERED
.rdata:1053051C	0000001D	C	ACT_MELEE_VM_IDLE_TO_LOWERED
.rdata:1053053C	00000015	C	ACT_MELEE_VM_DRYFIRE
.rdata:10530554	00000014	C	ACT_MELEE_VM_RELOAD
.rdata:10530568	0000001D	C	ACT_MELEE_VM_SECONDARYATTACK
.rdata:10530588	0000001B	C	ACT_MELEE_VM_PRIMARYATTACK
.rdata:105305A4	00000016	C	ACT_MELEE_VM_PULLBACK
.rdata:105305BC	00000012	C	ACT_MELEE_VM_IDLE
.rdata:105305D0	00000015	C	ACT_MELEE_VM_HOLSTER
.rdata:105305E8	00000012	C	ACT_MELEE_VM_DRAW
.rdata:105305FC	00000021	C	ACT_SECONDARY_VM_LOWERED_TO_IDLE
.rdata:10530620	0000001E	C	ACT_SECONDARY_VM_IDLE_LOWERED
.rdata:10530640	00000021	C	ACT_SECONDARY_VM_IDLE_TO_LOWERED
.rdata:10530664	00000019	C	ACT_SECONDARY_VM_DRYFIRE
.rdata:10530680	00000018	C	ACT_SECONDARY_VM_RELOAD
.rdata:10530698	00000021	C	ACT_SECONDARY_VM_SECONDARYATTACK
.rdata:105306BC	0000001F	C	ACT_SECONDARY_VM_PRIMARYATTACK
.rdata:105306DC	0000001A	C	ACT_SECONDARY_VM_PULLBACK
.rdata:105306F8	00000016	C	ACT_SECONDARY_VM_IDLE
.rdata:10530710	00000019	C	ACT_SECONDARY_VM_HOLSTER
.rdata:1053072C	00000016	C	ACT_SECONDARY_VM_DRAW
.rdata:10530744	0000001F	C	ACT_PRIMARY_VM_LOWERED_TO_IDLE
.rdata:10530764	0000001C	C	ACT_PRIMARY_VM_IDLE_LOWERED
.rdata:10530780	0000001F	C	ACT_PRIMARY_VM_IDLE_TO_LOWERED
.rdata:105307A0	00000017	C	ACT_PRIMARY_VM_DRYFIRE
.rdata:105307B8	00000016	C	ACT_PRIMARY_VM_RELOAD
.rdata:105307D0	0000001F	C	ACT_PRIMARY_VM_SECONDARYATTACK
.rdata:105307F0	0000001D	C	ACT_PRIMARY_VM_PRIMARYATTACK
.rdata:10530810	00000018	C	ACT_PRIMARY_VM_PULLBACK
.rdata:10530828	00000014	C	ACT_PRIMARY_VM_IDLE
.rdata:1053083C	00000017	C	ACT_PRIMARY_VM_HOLSTER
.rdata:10530854	00000014	C	ACT_PRIMARY_VM_DRAW
.rdata:10530868	0000001A	C	ACT_VM_USABLE_TO_UNUSABLE
.rdata:10530884	0000001A	C	ACT_VM_UNUSABLE_TO_USABLE
.rdata:105308A0	00000010	C	ACT_VM_UNUSABLE
.rdata:105308B0	0000001C	C	ACT_MP_GESTURE_VC_NODNO_PDA
.rdata:105308CC	0000001D	C	ACT_MP_GESTURE_VC_NODYES_PDA
.rdata:105308EC	0000001F	C	ACT_MP_GESTURE_VC_THUMBSUP_PDA
.rdata:1053090C	0000001F	C	ACT_MP_GESTURE_VC_FISTPUMP_PDA
.rdata:1053092C	00000022	C	ACT_MP_GESTURE_VC_FINGERPOINT_PDA
.rdata:10530950	00000020	C	ACT_MP_GESTURE_VC_HANDMOUTH_PDA
.rdata:10530970	00000021	C	ACT_MP_GESTURE_VC_NODNO_BUILDING
.rdata:10530994	00000022	C	ACT_MP_GESTURE_VC_NODYES_BUILDING
.rdata:105309B8	00000024	C	ACT_MP_GESTURE_VC_THUMBSUP_BUILDING
.rdata:105309DC	00000024	C	ACT_MP_GESTURE_VC_FISTPUMP_BUILDING
.rdata:10530A00	00000027	C	ACT_MP_GESTURE_VC_FINGERPOINT_BUILDING
.rdata:10530A28	00000025	C	ACT_MP_GESTURE_VC_HANDMOUTH_BUILDING
.rdata:10530A50	0000001E	C	ACT_MP_GESTURE_VC_NODNO_ITEM2
.rdata:10530A70	0000001F	C	ACT_MP_GESTURE_VC_NODYES_ITEM2
.rdata:10530A90	00000021	C	ACT_MP_GESTURE_VC_THUMBSUP_ITEM2
.rdata:10530AB4	00000021	C	ACT_MP_GESTURE_VC_FISTPUMP_ITEM2
.rdata:10530AD8	00000024	C	ACT_MP_GESTURE_VC_FINGERPOINT_ITEM2
.rdata:10530AFC	00000022	C	ACT_MP_GESTURE_VC_HANDMOUTH_ITEM2
.rdata:10530B20	0000001E	C	ACT_MP_GESTURE_VC_NODNO_ITEM1
.rdata:10530B40	0000001F	C	ACT_MP_GESTURE_VC_NODYES_ITEM1
.rdata:10530B60	00000021	C	ACT_MP_GESTURE_VC_THUMBSUP_ITEM1
.rdata:10530B84	00000021	C	ACT_MP_GESTURE_VC_FISTPUMP_ITEM1
.rdata:10530BA8	00000024	C	ACT_MP_GESTURE_VC_FINGERPOINT_ITEM1
.rdata:10530BCC	00000022	C	ACT_MP_GESTURE_VC_HANDMOUTH_ITEM1
.rdata:10530BF0	0000001E	C	ACT_MP_GESTURE_VC_NODNO_MELEE
.rdata:10530C10	0000001F	C	ACT_MP_GESTURE_VC_NODYES_MELEE
.rdata:10530C30	00000021	C	ACT_MP_GESTURE_VC_THUMBSUP_MELEE
.rdata:10530C54	00000021	C	ACT_MP_GESTURE_VC_FISTPUMP_MELEE
.rdata:10530C78	00000024	C	ACT_MP_GESTURE_VC_FINGERPOINT_MELEE
.rdata:10530C9C	00000022	C	ACT_MP_GESTURE_VC_HANDMOUTH_MELEE
.rdata:10530CC0	00000022	C	ACT_MP_GESTURE_VC_NODNO_SECONDARY
.rdata:10530CE4	00000023	C	ACT_MP_GESTURE_VC_NODYES_SECONDARY
.rdata:10530D08	00000025	C	ACT_MP_GESTURE_VC_THUMBSUP_SECONDARY
.rdata:10530D30	00000025	C	ACT_MP_GESTURE_VC_FISTPUMP_SECONDARY
.rdata:10530D58	00000028	C	ACT_MP_GESTURE_VC_FINGERPOINT_SECONDARY
.rdata:10530D80	00000026	C	ACT_MP_GESTURE_VC_HANDMOUTH_SECONDARY
.rdata:10530DA8	00000020	C	ACT_MP_GESTURE_VC_NODNO_PRIMARY
.rdata:10530DC8	00000021	C	ACT_MP_GESTURE_VC_NODYES_PRIMARY
.rdata:10530DEC	00000023	C	ACT_MP_GESTURE_VC_THUMBSUP_PRIMARY
.rdata:10530E10	00000023	C	ACT_MP_GESTURE_VC_FISTPUMP_PRIMARY
.rdata:10530E34	00000026	C	ACT_MP_GESTURE_VC_FINGERPOINT_PRIMARY
.rdata:10530E5C	00000024	C	ACT_MP_GESTURE_VC_HANDMOUTH_PRIMARY
.rdata:10530E80	00000018	C	ACT_MP_GESTURE_VC_NODNO
.rdata:10530E98	00000019	C	ACT_MP_GESTURE_VC_NODYES
.rdata:10530EB4	0000001B	C	ACT_MP_GESTURE_VC_THUMBSUP
.rdata:10530ED0	0000001B	C	ACT_MP_GESTURE_VC_FISTPUMP
.rdata:10530EEC	0000001E	C	ACT_MP_GESTURE_VC_FINGERPOINT
.rdata:10530F0C	0000001C	C	ACT_MP_GESTURE_VC_HANDMOUTH
.rdata:10530F28	00000017	C	ACT_MP_ATTACK_SWIM_PDA
.rdata:10530F40	00000018	C	ACT_MP_ATTACK_STAND_PDA
.rdata:10530F58	00000010	C	ACT_MP_SWIM_PDA
.rdata:10530F68	00000015	C	ACT_MP_JUMP_LAND_PDA
.rdata:10530F80	00000016	C	ACT_MP_JUMP_FLOAT_PDA
.rdata:10530F98	00000016	C	ACT_MP_JUMP_START_PDA
.rdata:10530FB0	00000010	C	ACT_MP_JUMP_PDA
.rdata:10530FC0	00000016	C	ACT_MP_CROUCHWALK_PDA
.rdata:10530FD8	00000013	C	ACT_MP_AIRWALK_PDA
.rdata:10530FEC	00000010	C	ACT_MP_WALK_PDA
.rdata:10530FFC	0000000F	C	ACT_MP_RUN_PDA
.rdata:1053100C	00000012	C	ACT_MP_CROUCH_PDA
.rdata:10531020	00000011	C	ACT_MP_STAND_PDA
.rdata:10531034	00000027	C	ACT_MP_ATTACK_AIRWALK_GRENADE_BUILDING
.rdata:1053105C	00000024	C	ACT_MP_ATTACK_SWIM_GRENADE_BUILDING
.rdata:10531080	00000026	C	ACT_MP_ATTACK_CROUCH_GRENADE_BUILDING
.rdata:105310A8	00000025	C	ACT_MP_ATTACK_STAND_GRENADE_BUILDING
.rdata:105310D0	0000001F	C	ACT_MP_ATTACK_AIRWALK_BUILDING
.rdata:105310F0	0000001C	C	ACT_MP_ATTACK_SWIM_BUILDING
.rdata:1053110C	0000001E	C	ACT_MP_ATTACK_CROUCH_BUILDING
.rdata:1053112C	0000001D	C	ACT_MP_ATTACK_STAND_BUILDING
.rdata:1053114C	00000015	C	ACT_MP_SWIM_BUILDING
.rdata:10531164	0000001A	C	ACT_MP_JUMP_LAND_BUILDING
.rdata:10531180	0000001B	C	ACT_MP_JUMP_FLOAT_BUILDING
.rdata:1053119C	0000001B	C	ACT_MP_JUMP_START_BUILDING
.rdata:105311B8	00000015	C	ACT_MP_JUMP_BUILDING
.rdata:105311D0	0000001B	C	ACT_MP_CROUCHWALK_BUILDING
.rdata:105311EC	00000018	C	ACT_MP_AIRWALK_BUILDING
.rdata:10531204	00000015	C	ACT_MP_WALK_BUILDING
.rdata:1053121C	00000014	C	ACT_MP_RUN_BUILDING
.rdata:10531230	00000017	C	ACT_MP_CROUCH_BUILDING
.rdata:10531248	00000016	C	ACT_MP_STAND_BUILDING
.rdata:10531260	0000001D	C	ACT_MP_ITEM2_GRENADE2_ATTACK
.rdata:10531280	0000001B	C	ACT_MP_ITEM2_GRENADE2_IDLE
.rdata:1053129C	0000001B	C	ACT_MP_ITEM2_GRENADE2_DRAW
.rdata:105312B8	0000001D	C	ACT_MP_ITEM2_GRENADE1_ATTACK
.rdata:105312D8	0000001B	C	ACT_MP_ITEM2_GRENADE1_IDLE
.rdata:105312F4	0000001B	C	ACT_MP_ITEM2_GRENADE1_DRAW
.rdata:10531310	0000001D	C	ACT_MP_ITEM1_GRENADE2_ATTACK
.rdata:10531330	0000001B	C	ACT_MP_ITEM1_GRENADE2_IDLE
.rdata:1053134C	0000001B	C	ACT_MP_ITEM1_GRENADE2_DRAW
.rdata:10531368	0000001D	C	ACT_MP_ITEM1_GRENADE1_ATTACK
.rdata:10531388	0000001B	C	ACT_MP_ITEM1_GRENADE1_IDLE
.rdata:105313A4	0000001B	C	ACT_MP_ITEM1_GRENADE1_DRAW
.rdata:105313C0	0000001D	C	ACT_MP_MELEE_GRENADE2_ATTACK
.rdata:105313E0	0000001B	C	ACT_MP_MELEE_GRENADE2_IDLE
.rdata:105313FC	0000001B	C	ACT_MP_MELEE_GRENADE2_DRAW
.rdata:10531418	0000001D	C	ACT_MP_MELEE_GRENADE1_ATTACK
.rdata:10531438	0000001B	C	ACT_MP_MELEE_GRENADE1_IDLE
.rdata:10531454	0000001B	C	ACT_MP_MELEE_GRENADE1_DRAW
.rdata:10531470	00000021	C	ACT_MP_SECONDARY_GRENADE2_ATTACK
.rdata:10531494	0000001F	C	ACT_MP_SECONDARY_GRENADE2_IDLE
.rdata:105314B4	0000001F	C	ACT_MP_SECONDARY_GRENADE2_DRAW
.rdata:105314D4	00000021	C	ACT_MP_SECONDARY_GRENADE1_ATTACK
.rdata:105314F8	0000001F	C	ACT_MP_SECONDARY_GRENADE1_IDLE
.rdata:10531518	0000001F	C	ACT_MP_SECONDARY_GRENADE1_DRAW
.rdata:10531538	0000001F	C	ACT_MP_PRIMARY_GRENADE2_ATTACK
.rdata:10531558	0000001D	C	ACT_MP_PRIMARY_GRENADE2_IDLE
.rdata:10531578	0000001D	C	ACT_MP_PRIMARY_GRENADE2_DRAW
.rdata:10531598	0000001F	C	ACT_MP_PRIMARY_GRENADE1_ATTACK
.rdata:105315B8	0000001D	C	ACT_MP_PRIMARY_GRENADE1_IDLE
.rdata:105315D8	0000001D	C	ACT_MP_PRIMARY_GRENADE1_DRAW
.rdata:105315F8	00000017	C	ACT_MP_GRENADE2_ATTACK
.rdata:10531610	00000015	C	ACT_MP_GRENADE2_IDLE
.rdata:10531628	00000015	C	ACT_MP_GRENADE2_DRAW
.rdata:10531640	00000017	C	ACT_MP_GRENADE1_ATTACK
.rdata:10531658	00000015	C	ACT_MP_GRENADE1_IDLE
.rdata:10531670	00000015	C	ACT_MP_GRENADE1_DRAW
.rdata:10531688	0000001F	C	ACT_MP_GESTURE_FLINCH_RIGHTLEG
.rdata:105316A8	0000001E	C	ACT_MP_GESTURE_FLINCH_LEFTLEG
.rdata:105316C8	0000001F	C	ACT_MP_GESTURE_FLINCH_RIGHTARM
.rdata:105316E8	0000001E	C	ACT_MP_GESTURE_FLINCH_LEFTARM
.rdata:10531708	0000001E	C	ACT_MP_GESTURE_FLINCH_STOMACH
.rdata:10531728	0000001C	C	ACT_MP_GESTURE_FLINCH_CHEST
.rdata:10531744	0000001B	C	ACT_MP_GESTURE_FLINCH_HEAD
.rdata:10531760	0000001C	C	ACT_MP_GESTURE_FLINCH_ITEM2
.rdata:1053177C	0000001C	C	ACT_MP_GESTURE_FLINCH_ITEM1
.rdata:10531798	0000001C	C	ACT_MP_GESTURE_FLINCH_MELEE
.rdata:105317B4	00000020	C	ACT_MP_GESTURE_FLINCH_SECONDARY
.rdata:105317D4	0000001E	C	ACT_MP_GESTURE_FLINCH_PRIMARY
.rdata:105317F4	00000016	C	ACT_MP_GESTURE_FLINCH
.rdata:1053180C	0000001C	C	ACT_MP_ATTACK_AIRWALK_ITEM2
.rdata:10531828	00000019	C	ACT_MP_ATTACK_SWIM_ITEM2
.rdata:10531844	00000025	C	ACT_MP_ATTACK_CROUCH_ITEM2_SECONDARY
.rdata:1053186C	0000001B	C	ACT_MP_ATTACK_CROUCH_ITEM2
.rdata:10531888	00000024	C	ACT_MP_ATTACK_STAND_ITEM2_SECONDARY
.rdata:105318AC	0000001A	C	ACT_MP_ATTACK_STAND_ITEM2
.rdata:105318C8	00000012	C	ACT_MP_SWIM_ITEM2
.rdata:105318DC	00000017	C	ACT_MP_JUMP_LAND_ITEM2
.rdata:105318F4	00000018	C	ACT_MP_JUMP_FLOAT_ITEM2
.rdata:1053190C	00000018	C	ACT_MP_JUMP_START_ITEM2
.rdata:10531924	00000012	C	ACT_MP_JUMP_ITEM2
.rdata:10531938	00000018	C	ACT_MP_CROUCHWALK_ITEM2
.rdata:10531950	00000015	C	ACT_MP_AIRWALK_ITEM2
.rdata:10531968	00000012	C	ACT_MP_WALK_ITEM2
.rdata:1053197C	00000011	C	ACT_MP_RUN_ITEM2
.rdata:10531990	00000014	C	ACT_MP_CROUCH_ITEM2
.rdata:105319A4	00000013	C	ACT_MP_STAND_ITEM2
.rdata:105319B8	0000001C	C	ACT_MP_ATTACK_AIRWALK_ITEM1
.rdata:105319D4	00000019	C	ACT_MP_ATTACK_SWIM_ITEM1
.rdata:105319F0	00000025	C	ACT_MP_ATTACK_CROUCH_ITEM1_SECONDARY
.rdata:10531A18	0000001B	C	ACT_MP_ATTACK_CROUCH_ITEM1
.rdata:10531A34	00000024	C	ACT_MP_ATTACK_STAND_ITEM1_SECONDARY
.rdata:10531A58	0000001A	C	ACT_MP_ATTACK_STAND_ITEM1
.rdata:10531A74	00000012	C	ACT_MP_SWIM_ITEM1
.rdata:10531A88	00000017	C	ACT_MP_JUMP_LAND_ITEM1
.rdata:10531AA0	00000018	C	ACT_MP_JUMP_FLOAT_ITEM1
.rdata:10531AB8	00000018	C	ACT_MP_JUMP_START_ITEM1
.rdata:10531AD0	00000012	C	ACT_MP_JUMP_ITEM1
.rdata:10531AE4	00000018	C	ACT_MP_CROUCHWALK_ITEM1
.rdata:10531AFC	00000015	C	ACT_MP_AIRWALK_ITEM1
.rdata:10531B14	00000012	C	ACT_MP_WALK_ITEM1
.rdata:10531B28	00000011	C	ACT_MP_RUN_ITEM1
.rdata:10531B3C	00000014	C	ACT_MP_CROUCH_ITEM1
.rdata:10531B50	00000013	C	ACT_MP_STAND_ITEM1
.rdata:10531B64	00000024	C	ACT_MP_ATTACK_AIRWALK_GRENADE_MELEE
.rdata:10531B88	00000021	C	ACT_MP_ATTACK_SWIM_GRENADE_MELEE
.rdata:10531BAC	00000023	C	ACT_MP_ATTACK_CROUCH_GRENADE_MELEE
.rdata:10531BD0	00000022	C	ACT_MP_ATTACK_STAND_GRENADE_MELEE
.rdata:10531BF4	0000001C	C	ACT_MP_ATTACK_AIRWALK_MELEE
.rdata:10531C10	00000019	C	ACT_MP_ATTACK_SWIM_MELEE
.rdata:10531C2C	00000025	C	ACT_MP_ATTACK_CROUCH_MELEE_SECONDARY
.rdata:10531C54	0000001B	C	ACT_MP_ATTACK_CROUCH_MELEE
.rdata:10531C70	00000024	C	ACT_MP_ATTACK_STAND_MELEE_SECONDARY
.rdata:10531C94	0000001A	C	ACT_MP_ATTACK_STAND_MELEE
.rdata:10531CB0	00000012	C	ACT_MP_SWIM_MELEE
.rdata:10531CC4	00000017	C	ACT_MP_JUMP_LAND_MELEE
.rdata:10531CDC	00000018	C	ACT_MP_JUMP_FLOAT_MELEE
.rdata:10531CF4	00000018	C	ACT_MP_JUMP_START_MELEE
.rdata:10531D0C	00000012	C	ACT_MP_JUMP_MELEE
.rdata:10531D20	00000018	C	ACT_MP_CROUCHWALK_MELEE
.rdata:10531D38	00000015	C	ACT_MP_AIRWALK_MELEE
.rdata:10531D50	00000012	C	ACT_MP_WALK_MELEE
.rdata:10531D64	00000011	C	ACT_MP_RUN_MELEE
.rdata:10531D78	00000014	C	ACT_MP_CROUCH_MELEE
.rdata:10531D8C	00000013	C	ACT_MP_STAND_MELEE
.rdata:10531DA0	00000028	C	ACT_MP_ATTACK_AIRWALK_GRENADE_SECONDARY
.rdata:10531DC8	00000025	C	ACT_MP_ATTACK_SWIM_GRENADE_SECONDARY
.rdata:10531DF0	00000027	C	ACT_MP_ATTACK_CROUCH_GRENADE_SECONDARY
.rdata:10531E18	00000026	C	ACT_MP_ATTACK_STAND_GRENADE_SECONDARY
.rdata:10531E40	00000024	C	ACT_MP_RELOAD_AIRWALK_SECONDARY_END
.rdata:10531E64	00000025	C	ACT_MP_RELOAD_AIRWALK_SECONDARY_LOOP
.rdata:10531E8C	00000020	C	ACT_MP_RELOAD_AIRWALK_SECONDARY
